pays;code;ville;societe;activite;site;email repere;telephone repere;note commerciale;statut
Afrique du Sud;ZA;Alberton, Alrode;McCoy's Glass Wholesale Pty Ltd;Importation et distribution de verre plat;mccoysglass.co.za;info@mccoysglass.co.za;+27 11 864 1313;Grossiste avec entrepôts en Afrique australe et ventes par conteneurs complets. Port Durban, envoi en anglais.;ENVOYE 2026-09-23
Afrique du Sud;ZA;Gqeberha, Central;National Glass Distribution;Transformation et distribution de verre plat;natglass.co.za;info@natglass.co.za;+27 10 593 8400;Groupe de distribution de verre et aluminium avec réseau d'implantations. Port Durban, envoi en anglais.;ENVOYE 2026-09-23
Afrique du Sud;ZA;Johannesburg et Le Cap;AGW — Aluminium & Glass Wholesalers;Grossiste aluminium et verre;agwsystems.co.za;sales1.jhb@agwsystems.co.za;;GROSSISTE : deux plateformes Johannesburg et Le Cap. Autres contacts sales2.jhb@ et ctsales@. Port Durban ou Le Cap, envoi en anglais.;ENVOYE 2026-09-25
Afrique du Sud;ZA;Johannesburg et Le Cap;Sunflex SA;Systemes vitres et aluminium;sunflex.co.za;info.jhb@sunflex.co.za;;Deux agences Johannesburg et Le Cap. Port Durban ou Le Cap, envoi en anglais.;ENVOYE 2026-09-25
Afrique du Sud;ZA;Johannesburg, Wemmer;SA Bullet Resistant Glass Co;Fabrication de vitrage feuilleté de sécurité;sabrg.co.za;info@sabullet.co.za;+27 11 493 6663;Vitrage pare-balles pour bâtiments, cibler float extra-clair et feuilleté. Port Durban, envoi en anglais.;ENVOYE 2026-09-23
Afrique du Sud;ZA;Krugersdorp, Factoria;Glass Partners;Transformation et distribution de verre plat;glasspartners.co.za;info@glasspartners.co.za;+27 11 664 6635;Réseau national d'usines et agences, unités de transformation et trempe au Cap. Port Durban, envoi en anglais.;ENVOYE 2026-09-23
Afrique du Sud;ZA;Le Cap, KwaZulu-Natal, Gauteng;PG Smartglass;Distribution et transformation de verre haute performance;pgsmartglass.co.za;pgsmartglassinfo@pg.co.za;+27 11 417 5800;Premier distributeur-transformateur sud-africain de verre haute performance, trois usines. Port Durban ou Le Cap. 18 Skeen Boulevard, Bedfordview, Johannesburg. Envoi en anglais.;ENVOYE 2026-09-25
Afrique du Sud;ZA;Olifantsfontein (Clayville);The Glass Company (Pty) Ltd;Fourniture de verre commercial et residentiel en Afrique australe;theglasscompany.africa;info@theglasscompany.africa;+27 10 597 3958;SERT L AFRIQUE DU SUD PLUS LA NAMIBIE, LE BOTSWANA, LE ZIMBABWE, LA ZAMBIE ET LE MOZAMBIQUE : profil distributeur regional, cible prioritaire. Port Durban. Envoi en anglais.;ENVOYE 2026-09-25
Afrique du Sud;ZA;Roodepoort, Stormill;Furman Glass;Fabrication et distribution de verre architectural;furmanglass.co.za;info@furmanglass.co.za;+27 11 473 6700;Groupe industriel et distributeur de verre fondé en 1896, cibler verre architectural et miroirs. Port Durban, envoi en anglais.;ENVOYE 2026-09-23
Albanie;AL;Tirana, Durrës et Elbasan;DOAN GLASS;Usine, negoce et transformation de verre;doanglass.al;info@doanglass.al;+355 69 20 83 322;Trois sites dont Durres, sur le port. Envoi en anglais.;ENVOYE 2026-09-25
Algérie;DZ;Alger, Les Eucalyptus;Baizid Glass Securit;Transformation de verre architectural et de sécurité;bgs-dz.com;contact@bgs-dz.com;+213 770 684659;Découpe, trempe et feuilletage, cibler float architectural. Port Alger, envoi en francais.;ENVOYE 2026-09-23
Algérie;DZ;Annaba;SARL Miroiterie El-Kods;Miroiterie;;;;Import encadré : valider la domiciliation bancaire.;
Algérie;DZ;Chelghoum Laïd (Mila);Glass Lux Bouhedjar;Transformation de verre et miroiterie : trempe, feuillete, bombe, sable;glasslux.net;contact@glasslux.net;;DIX SHOWROOMS : Alger, Oran, Bejaia, Constantine, Djelfa, Bechar, Biskra, Laghouat, Setif, Chelghoum Laid.;ENVOYE 2026-09-23
Algérie;DZ;El Eulma, Bazer Sakhra;Miranova Glass;Transformation de verre trempé, feuilleté et isolant;miranovaglass.com;miranovaglass@gmail.com;+213 550 132218;Usine disposant de cinq lignes de transformation, cibler float et miroir. Port Alger, envoi en francais.;ENVOYE 2026-09-23
Algérie;DZ;Larbaâ, Blida;Mediterranean Float Glass;Production et transformation industrielle de verre plat;mfg.dz;marketing@mfg.dz;;Producteur local transformant feuilleté et verre à couches. Cibler miroir antique et compléments. Port Alger, envoi en francais.;ENVOYE 2026-09-23
Algérie;DZ;Oran (Es Senia);Sarl Es Senia Glass;1er transformateur de verre plat de l'Ouest algerien;esseniaglass.com;contact@esseniaglass.com;+213 661 246 326;Se presente en leader de l'Ouest algerien. Zone d activite Sidi Chami, Essenia, Oran. Port Oran, envoi en francais.;ENVOYE 2026-09-25
Allemagne;DE;Brême;FLACHGLAS AG Bremen;Gros de verre plat, distribution, import et export;;;;Orleansstr. 41. Activite import-export declaree. Aucune adresse email publiee : a rappeler.;A APPELER
Allemagne;DE;Cologne;Glasgroßhandel König;Gros de verre depuis pres de 180 ans;glaskoenig.de;;;Aucune adresse email publiee : a rappeler.;A APPELER
Allemagne;DE;Hambourg (Bahrenfeld);Völker Glashandel GmbH;Gros de verre plat, import et export;;;+49 40 851 7480;Winsbergring 30. Activite import-export declaree. Aucune adresse email publiee : a rappeler.;A APPELER
Allemagne;DE;Peine et Peißen (Halle);HoffmannGlas GmbH + Co. Glasgroßhandlung KG;Gros de verre plat avec production propre de vitrage isolant;hoffmannglas.de;;+49 5171 2910;Grossiste independant de taille moyenne, deux sites. Aucune adresse email publiee : a rappeler.;A APPELER
